episode,agent,reward,success,sar,splat
1,ppo,27.083466,True,0.25,4.364082
2,ppo,13.059001,True,0.3333333333333333,5.151682
3,ppo,7.1857924,True,0.3333333333333333,4.6838355
4,ppo,23.946093,False,0.5,4.138882
5,ppo,31.19243,True,0.5,4.2120705
6,ppo,30.264175,True,0.25,4.0560646
7,ppo,21.900854,True,0.3333333333333333,3.9830184
8,ppo,24.065926,True,0.3333333333333333,3.3771641
9,ppo,20.148708,True,0.5,4.2063265
10,ppo,22.887342,True,0.3333333333333333,3.6034253
11,ppo,23.40452,True,0.25,3.8089416
12,ppo,22.801783,True,0.25,4.541491
13,ppo,21.857645,True,0.3333333333333333,4.4457583
14,ppo,32.02913,True,0.25,3.7398531
15,ppo,31.99289,True,0.3333333333333333,3.961018
16,ppo,12.803481,True,0.5,5.848071
17,ppo,31.03485,True,0.5,4.058567
18,ppo,21.301308,True,0.5,3.9446666
19,ppo,21.311052,True,0.3333333333333333,4.675734
20,ppo,27.087751,True,0.3333333333333333,4.121852
21,ppo,22.196976,True,0.5,4.738453
22,ppo,22.873877,True,0.3333333333333333,4.585922
23,ppo,23.298895,True,0.3333333333333333,4.0027366
24,ppo,16.067837,False,0.3333333333333333,4.357393
25,ppo,14.563489,False,0.3333333333333333,3.100851
26,ppo,19.979235,True,0.5,4.5565224
27,ppo,14.033226,True,0.25,5.4617176
28,ppo,14.602524,False,0.5,2.9357374
29,ppo,23.492104,True,0.25,3.6137042
30,ppo,7.3865604,True,0.25,5.985891
31,ppo,27.083466,True,0.5,4.364082
32,ppo,17.90623,True,0.25,4.5942163
33,ppo,22.96998,True,0.25,3.4266045
34,ppo,24.942595,True,0.3333333333333333,3.9129906
35,ppo,27.411875,True,0.5,4.0865164
36,ppo,23.537565,True,0.5,4.2159877
37,ppo,29.24114,True,0.25,3.9808595
38,ppo,22.627182,True,0.25,5.426702
39,ppo,3.3237982,False,0.25,5.904034
40,ppo,10.539832,False,0.3333333333333333,5.0763335
41,ppo,22.44074,True,0.25,3.309839
42,ppo,31.021154,True,0.25,3.8310533
43,ppo,24.79613,True,0.3333333333333333,2.868015
44,ppo,24.232046,True,0.25,3.061028
45,ppo,21.704712,True,0.25,3.7937672
46,ppo,27.124008,True,0.5,3.9103124
47,ppo,17.489424,True,0.25,5.213979
48,ppo,22.811548,True,0.5,3.2497811
49,ppo,15.273871,True,0.5,4.1813345
50,ppo,28.19265,True,0.5,3.5532138
51,ppo,23.689997,True,0.5,3.7942505
52,ppo,5.757607,True,0.3333333333333333,5.2661085
53,ppo,19.511736,True,0.25,5.9741907
54,ppo,29.13357,True,0.5,4.698336
55,ppo,25.426214,True,0.3333333333333333,3.6588948
56,ppo,17.457787,True,0.5,3.9184203
57,ppo,22.140503,True,0.5,3.3888505
58,ppo,30.162893,True,0.5,4.2954307
59,ppo,11.659863,True,0.25,5.399251
60,ppo,31.518173,True,0.25,4.054041
61,ppo,29.438904,True,0.3333333333333333,4.0178847
62,ppo,38.765453,True,0.5,4.757627
63,ppo,27.978495,True,0.3333333333333333,4.3231206
64,ppo,25.872026,True,0.5,3.7996662
65,ppo,19.247602,True,0.3333333333333333,3.6207361
66,ppo,27.85592,True,0.3333333333333333,4.9963546
67,ppo,12.869042,True,0.25,5.792945
68,ppo,26.505442,True,0.5,4.7192764
69,ppo,15.484829,True,0.5,3.4112778
70,ppo,6.0610013,True,0.3333333333333333,6.021933
71,ppo,28.520554,True,0.5,4.455062
72,ppo,23.836645,True,0.25,3.3313785
73,ppo,14.146565,True,0.3333333333333333,4.3437905
74,ppo,27.525528,True,0.25,3.6357143
75,ppo,22.759108,True,0.5,3.3219726
76,ppo,25.783308,True,0.25,3.5773675
77,ppo,31.127052,True,0.5,3.6229444
78,ppo,12.850456,True,0.3333333333333333,6.469194
79,ppo,24.249748,True,0.5,3.7264597
80,ppo,25.802505,True,0.25,4.313051
81,ppo,15.528346,True,0.5,3.6735096
82,ppo,9.586829,True,0.3333333333333333,4.810531
83,ppo,34.04588,True,0.5,3.7982407
84,ppo,18.210732,True,0.5,3.6268568
85,ppo,16.28796,True,0.3333333333333333,4.465849
86,ppo,22.257097,True,0.5,3.0699606
87,ppo,32.207726,True,0.3333333333333333,4.063107
88,ppo,29.309708,True,0.25,5.0536656
89,ppo,26.606627,True,0.3333333333333333,4.058567
90,ppo,13.917233,True,0.25,4.2105
91,ppo,8.580199,True,0.25,5.976918
92,ppo,20.448946,True,0.25,4.244482
93,ppo,20.461575,True,0.25,3.410667
94,ppo,21.113226,True,0.25,4.600692
95,ppo,34.929382,True,0.3333333333333333,4.565778
96,ppo,17.014584,False,0.5,3.459318
97,ppo,6.2871375,False,0.25,3.4599388
98,ppo,30.801691,True,0.3333333333333333,4.8797493
99,ppo,16.728682,False,0.5,3.3026898
100,ppo,14.592404,True,0.25,4.738754
101,ppo,15.077592,True,0.5,5.0724616
102,ppo,17.457787,True,0.3333333333333333,3.9184203
103,ppo,11.363682,True,0.25,5.6171517
104,ppo,9.903779,True,0.25,4.1372557
105,ppo,17.585024,True,0.25,3.6667035
106,ppo,31.392607,True,0.3333333333333333,3.652334
107,ppo,12.700093,True,0.5,4.3521805
108,ppo,14.09154,True,0.3333333333333333,3.8284187
109,ppo,27.51699,True,0.3333333333333333,4.7190113
110,ppo,28.577951,True,0.3333333333333333,3.5072396
111,ppo,17.748789,True,0.25,4.8177843
112,ppo,13.21138,True,0.5,4.841236
113,ppo,19.428883,False,0.3333333333333333,5.8768997
114,ppo,18.651243,True,0.3333333333333333,3.996131
115,ppo,15.414552,True,0.25,3.7821727
116,ppo,23.483324,True,0.25,3.967542
117,ppo,25.389853,True,0.3333333333333333,3.201043
118,ppo,11.333518,True,0.3333333333333333,4.5994
119,ppo,26.555983,True,0.25,4.025754
120,ppo,20.7852,True,0.5,5.1041493
121,ppo,9.148549,False,0.3333333333333333,4.959408
122,ppo,19.473032,True,0.5,4.1624374
123,ppo,29.204885,True,0.3333333333333333,5.8272285
124,ppo,14.755714,True,0.5,4.4041257
125,ppo,20.241812,True,0.25,4.8553576
126,ppo,21.06882,True,0.5,4.622824
127,ppo,22.77427,False,0.5,5.3183618
128,ppo,19.756231,True,0.25,5.501244
129,ppo,14.771172,True,0.25,4.643052
130,ppo,19.91998,True,0.5,4.731303
131,ppo,28.600733,True,0.3333333333333333,3.4289663
132,ppo,14.363235,True,0.5,4.023692
133,ppo,15.861092,True,0.5,3.548664
134,ppo,6.5704937,True,0.25,6.268649
135,ppo,18.425514,False,0.3333333333333333,4.2773037
136,ppo,22.817602,True,0.25,4.096547
137,ppo,23.554148,True,0.3333333333333333,3.2817311
138,ppo,32.291748,True,0.3333333333333333,4.0032763
139,ppo,26.052477,True,0.5,3.929493
140,ppo,22.042166,True,0.25,5.265231
141,ppo,21.641586,True,0.5,3.866721
142,ppo,28.483221,True,0.3333333333333333,3.0938175
143,ppo,8.73289,True,0.5,5.748681
144,ppo,27.25213,True,0.5,5.074872
145,ppo,26.606627,True,0.25,4.058567
146,ppo,20.461575,True,0.3333333333333333,3.410667
147,ppo,31.844564,True,0.25,2.9935427
148,ppo,31.560188,True,0.3333333333333333,3.70923
149,ppo,28.354895,True,0.25,4.2846828
150,ppo,31.882467,True,0.5,3.3192856
151,ppo,22.807077,True,0.25,4.4677052
152,ppo,17.028917,False,0.25,3.1626322
153,ppo,17.046795,True,0.5,4.5992627
154,ppo,22.381216,True,0.5,3.995543
155,ppo,33.09056,True,0.25,3.5221038
156,ppo,12.575893,True,0.3333333333333333,4.2247205
157,ppo,29.93019,True,0.25,3.175305
158,ppo,28.820791,True,0.5,4.603098
159,ppo,19.067068,True,0.25,3.6605875
160,ppo,23.85618,True,0.3333333333333333,3.568757
161,ppo,27.043442,True,0.25,3.1880693
162,ppo,20.386572,True,0.5,4.5081315
163,ppo,13.032245,False,0.5,6.022584
164,ppo,22.246407,True,0.3333333333333333,4.4119296
165,ppo,22.988388,True,0.5,3.353082
166,ppo,17.29217,True,0.25,3.8917089
167,ppo,25.872026,True,0.5,3.7996662
168,ppo,16.762012,True,0.3333333333333333,4.8842363
169,ppo,32.43507,True,0.5,5.156401
170,ppo,26.705856,True,0.5,4.4666543
171,ppo,33.432552,True,0.3333333333333333,5.3681064
172,ppo,14.249537,True,0.25,4.218947
173,ppo,21.113226,True,0.5,4.600692
174,ppo,35.69603,True,0.5,4.512368
175,ppo,22.633585,True,0.3333333333333333,2.6792526
176,ppo,24.805552,True,0.5,3.4458637
177,ppo,28.521568,True,0.5,5.0503945
178,ppo,30.493408,True,0.5,4.211242
179,ppo,23.97281,True,0.5,3.6089392
180,ppo,19.282291,True,0.5,3.382164
181,ppo,25.135763,True,0.25,3.5749316
182,ppo,28.520554,True,0.3333333333333333,4.455062
183,ppo,31.520523,True,0.5,5.1175427
184,ppo,31.137405,True,0.25,4.827277
185,ppo,23.158205,True,0.25,4.629391
186,ppo,13.132787,True,0.25,4.565077
187,ppo,29.241613,True,0.3333333333333333,3.7514293
188,ppo,16.661772,False,0.5,5.020462
189,ppo,26.756922,True,0.5,4.6498094
190,ppo,29.484415,True,0.3333333333333333,5.502706
191,ppo,14.168709,True,0.3333333333333333,3.891473
192,ppo,12.867547,True,0.5,5.536122
193,ppo,21.354729,True,0.5,5.7369604
194,ppo,11.7065115,True,0.3333333333333333,4.819893
195,ppo,19.576942,True,0.5,4.625527
196,ppo,17.346727,True,0.5,4.448719
197,ppo,19.631214,True,0.5,4.510279
198,ppo,34.368954,True,0.25,3.710382
199,ppo,26.514114,True,0.5,4.555138
200,ppo,22.40978,True,0.25,6.117105
201,ppo,25.997595,True,0.5,4.165034
202,ppo,33.432552,True,0.3333333333333333,5.3681064
203,ppo,19.067068,True,0.3333333333333333,3.6605875
204,ppo,23.012762,True,0.5,5.298661
205,ppo,20.856524,True,0.3333333333333333,5.8825297
206,ppo,32.2568,True,0.5,4.158908
207,ppo,13.5248995,True,0.5,4.091121
208,ppo,22.027903,True,0.3333333333333333,4.7376223
209,ppo,22.016747,True,0.5,3.9442387
210,ppo,17.146883,True,0.3333333333333333,5.151789
211,ppo,21.449484,True,0.5,5.7223735
212,ppo,25.142014,True,0.25,4.03701
213,ppo,25.741343,True,0.5,3.6154633
214,ppo,7.3846383,True,0.3333333333333333,6.2692795
