episode,agent,reward,success,sar,splat
1,dqn,8.181411,True,0.25,5.100095
2,dqn,3.4972441,False,0.3333333333333333,5.3966055
3,dqn,30.777695,True,0.5,4.7932415
4,dqn,18.192078,True,0.3333333333333333,5.2131877
5,dqn,20.572794,True,0.25,4.307484
6,dqn,10.077361,True,0.3333333333333333,5.9244986
7,dqn,15.380231,True,0.5,6.083538
8,dqn,7.975599,True,0.3333333333333333,6.8615084
9,dqn,23.273455,True,0.25,3.3175716
10,dqn,26.865591,False,0.25,4.4994745
11,dqn,19.011108,True,0.3333333333333333,5.0507283
12,dqn,21.290731,False,0.25,5.635008
13,dqn,14.045817,True,0.5,6.249266
14,dqn,19.952381,True,0.5,4.2098055
15,dqn,10.6844225,True,0.5,5.7184815
16,dqn,20.765963,True,0.3333333333333333,6.0337167
17,dqn,11.301967,False,0.3333333333333333,6.4647927
18,dqn,13.195007,False,0.5,5.3936076
19,dqn,17.50337,True,0.25,4.127905
20,dqn,12.085838,False,0.3333333333333333,4.8154917
21,dqn,33.62026,True,0.5,3.0241861
22,dqn,19.182749,True,0.3333333333333333,5.0445824
23,dqn,21.023909,False,0.25,4.034088
24,dqn,29.063416,True,0.3333333333333333,4.95739
25,dqn,21.329977,True,0.5,4.14877
26,dqn,8.348057,True,0.25,5.0116777
27,dqn,13.050587,True,0.3333333333333333,5.839512
28,dqn,14.713474,True,0.3333333333333333,5.2240944
29,dqn,14.766335,True,0.25,6.9152093
30,dqn,18.690462,True,0.25,4.6947484
31,dqn,15.697533,True,0.3333333333333333,4.612318
32,dqn,8.1350355,True,0.3333333333333333,6.321834
33,dqn,16.925594,True,0.5,3.7533069
34,dqn,14.687569,False,0.5,3.4664483
35,dqn,4.975392,False,0.25,7.039332
36,dqn,9.769807,True,0.25,6.0446553
37,dqn,8.398431,False,0.3333333333333333,4.945766
38,dqn,8.9080305,False,0.5,3.6605873
39,dqn,5.17024,False,0.5,4.779746
40,dqn,10.301446,True,0.5,6.0317106
41,dqn,14.339086,True,0.5,3.3821764
42,dqn,28.786276,True,0.5,3.7059128
43,dqn,22.99505,True,0.5,6.3207574
44,dqn,21.648119,True,0.25,4.8007865
45,dqn,27.230597,True,0.5,5.0044336
46,dqn,20.874357,True,0.5,4.3993373
47,dqn,12.065201,True,0.3333333333333333,4.8147573
48,dqn,23.596228,True,0.5,5.377348
49,dqn,18.800213,True,0.5,4.542563
50,dqn,26.577608,True,0.3333333333333333,4.062066
51,dqn,1.2073731,False,0.25,6.140751
52,dqn,21.711096,True,0.25,5.159532
53,dqn,21.409388,True,0.5,5.011876
54,dqn,27.985502,True,0.5,4.304186
55,dqn,10.130416,True,0.5,4.8240695
56,dqn,19.675447,False,0.5,4.249653
57,dqn,24.106867,True,0.25,4.08459
58,dqn,22.689857,True,0.5,5.3414392
59,dqn,8.1013155,True,0.25,5.07887
60,dqn,15.003751,True,0.5,3.8530698
61,dqn,12.509823,True,0.25,4.471208
62,dqn,24.289171,True,0.25,6.4357314
63,dqn,4.398243,False,0.3333333333333333,5.049135
64,dqn,7.578806,True,0.3333333333333333,7.0768323
65,dqn,23.104944,True,0.3333333333333333,3.779585
66,dqn,19.233412,True,0.3333333333333333,4.6616354
67,dqn,19.9131,True,0.25,5.0704336
68,dqn,8.450819,True,0.25,7.386859
69,dqn,20.728697,True,0.25,4.7862163
70,dqn,28.3592,True,0.5,4.409193
71,dqn,25.579046,True,0.25,4.408157
72,dqn,19.229506,True,0.25,4.923153
73,dqn,19.017271,True,0.25,4.703358
74,dqn,22.368757,True,0.25,4.2339196
75,dqn,26.128633,True,0.25,4.6470904
76,dqn,7.6127357,True,0.25,5.3900957
77,dqn,24.339645,True,0.3333333333333333,3.6240277
78,dqn,21.557518,True,0.3333333333333333,5.339971
79,dqn,32.392284,True,0.3333333333333333,2.4787014
80,dqn,8.149022,True,0.5,4.6500564
81,dqn,6.530625,True,0.5,6.380553
