Episode,ddqn,dqn,ppo
61,4.518244,4.471208,4.0178847
62,5.839512,6.4357314,4.757627
63,5.560935,5.049135,4.3231206
64,4.7251644,7.0768323,3.7996662
65,5.618855,3.779585,3.6207361
66,4.681551,4.6616354,4.9963546
67,4.197164,5.0704336,5.792945
68,5.09418,7.386859,4.7192764
69,6.1248636,4.7862163,3.4112778
70,4.952682,4.409193,6.021933
71,5.966914,4.408157,4.455062
72,3.8186123,4.923153,3.3313785
73,6.9239817,4.703358,4.3437905
74,7.0280266,4.2339196,3.6357143
75,4.0914626,4.6470904,3.3219726
76,4.3927317,5.3900957,3.5773675
77,5.308404,3.6240277,3.6229444
78,4.795712,5.339971,6.469194
79,5.772005,2.4787014,3.7264597
80,4.4928155,4.6500564,4.313051
81,5.469247,6.380553,3.6735096
82,4.200657,4.2339196,4.810531
83,3.3873487,5.356393,3.7982407
84,3.7326987,7.0774875,3.6268568
85,5.368553,5.143137,4.465849
86,4.4928155,6.3189335,3.0699606
87,5.181451,6.798454,4.063107
88,5.20009,5.428356,5.0536656
89,4.915131,5.748762,4.058567
90,4.929849,3.9520118,4.2105
91,3.9080734,4.668423,5.976918
92,3.7287657,4.9410787,4.244482
93,4.4065905,5.1476703,3.410667
94,4.864066,5.1862645,4.600692
95,6.1614237,4.100019,4.565778
96,4.158542,5.10185,3.459318
97,4.04433,6.3048325,3.4599388
98,5.048455,4.525431,4.8797493
99,5.051761,4.9973555,3.3026898
100,4.2398233,6.594888,4.738754
101,4.9110575,4.7664223,5.0724616
102,4.4802995,7.4791737,3.9184203
103,5.2322683,4.9564795,5.6171517
104,5.538413,4.3062882,4.1372557
105,4.102421,6.463414,3.6667035
106,4.9185753,5.3587213,3.652334
107,5.0521564,6.631779,4.3521805
108,5.9689565,6.444423,3.8284187
109,3.9313116,3.6012526,4.7190113
110,5.5259976,3.5214252,3.5072396
111,4.8508015,5.686994,4.8177843
112,4.8022456,3.7059128,4.841236
113,4.8890157,4.2314987,5.8768997
114,6.442518,3.6012526,3.996131
115,4.2846828,4.160867,3.7821727
116,4.3183794,5.100688,3.967542
117,6.4629197,4.7503085,3.201043
118,5.842929,3.472796,4.5994
119,4.783578,3.9939203,4.025754
120,3.871933,4.0027347,5.1041493
121,5.3866024,3.9084618,4.959408
122,4.039328,5.4797845,4.1624374
123,3.641861,3.9239426,5.8272285
124,4.039328,4.4416046,4.4041257
125,4.892513,5.1326737,4.8553576
126,3.8307762,5.8442726,4.622824
127,5.3788433,3.9968288,5.3183618
128,4.050494,3.7059128,5.501244
129,3.3873487,3.7059128,4.643052
130,5.671322,4.7001185,4.731303
131,4.039328,5.3347826,3.4289663
132,4.403618,3.7059128,4.023692
133,3.8720002,7.166697,3.548664
134,4.527578,4.7862167,6.268649
135,5.0953355,7.3174996,4.2773037
136,4.4702754,6.9711137,4.096547
137,4.02852,4.738292,3.2817311
138,3.8720002,3.5749316,4.0032763
139,5.920231,5.864819,3.929493
140,3.8887215,5.4361053,5.265231
141,3.5205865,3.7059128,3.866721
142,4.02852,6.3570013,3.0938175
143,5.1047163,4.8601847,5.748681
144,3.691973,5.3505096,5.074872
145,3.8924072,6.0758405,4.058567
146,5.7482057,6.756726,3.410667
147,3.8307762,5.7698593,2.9935427
148,4.7808814,4.589714,3.70923
149,4.02852,3.765843,4.2846828
150,4.3082666,4.6246004,3.3192856
151,5.0390086,5.1984053,4.4677052
152,5.7438316,4.2069707,3.1626322
153,4.5352,3.9407072,4.5992627
154,3.7618494,3.4842148,3.995543
155,3.7246008,3.765843,3.5221038
156,4.5456314,3.6408434,4.2247205
157,5.363627,4.3524885,3.175305
158,3.8924072,3.9980578,4.603098
159,3.8549068,3.5127401,3.6605875
160,3.7413843,3.654598,3.568757
161,3.8307762,4.5480576,3.1880693
162,3.3873487,5.5245523,4.5081315
163,5.3143086,4.7174616,6.022584
164,4.7808814,2.8394418,4.4119296
165,4.7808814,6.778363,3.353082
166,4.585922,4.331397,3.8917089
167,3.6397889,4.6154156,3.7996662
168,6.4988174,6.152683,4.8842363
169,4.02852,4.119066,5.156401
170,5.4176154,5.294997,4.4666543
171,4.5903864,5.646324,5.3681064
172,4.02852,5.0445824,4.218947
173,3.3873487,3.9084618,4.600692
174,4.144095,4.4632554,4.512368
175,3.8549068,3.1294203,2.6792526
176,6.480089,3.3451173,3.4458637
177,4.02852,4.1092877,5.0503945
178,3.5205865,5.5241323,4.211242
179,4.4680357,4.1092877,3.6089392
180,5.4631333,5.045479,3.382164
181,3.111687,3.765843,3.5749316
182,3.8307762,3.765843,4.455062
183,4.1223054,4.8692236,5.1175427
184,4.02852,6.002488,4.827277
185,4.8022456,4.094865,4.629391
186,4.4993987,5.2966046,4.565077
187,4.339829,4.3524885,3.7514293
188,5.103941,4.3524885,5.020462
189,3.8924072,4.094865,4.6498094
190,4.02852,4.3524885,5.502706
191,4.7808814,4.5604463,3.891473
192,4.200657,4.53949,5.536122
193,5.228333,4.3524885,5.7369604
194,4.5884967,4.6246004,4.819893
195,3.408699,3.6811178,4.625527
196,3.7308388,4.3820376,4.448719
197,4.5352,4.5084915,4.510279
198,4.039328,4.2018685,3.710382
199,4.5352,3.6012526,4.555138
200,5.6447716,4.5486703,6.117105
201,4.039328,4.7345905,4.165034
202,5.5655365,3.6408434,5.3681064
203,3.399329,4.094865,3.6605875
204,4.902309,3.6873257,5.298661
205,3.7287657,5.4914317,5.8825297
206,5.008403,5.2768173,4.158908
207,4.564028,3.6408434,4.091121
208,4.18193,6.1688657,4.7376223
209,4.014703,6.9015636,3.9442387
210,3.8307762,4.0499573,5.151789
211,5.008403,3.6873257,5.7223735
212,4.5352,4.312231,4.03701
213,4.741013,6.487735,3.6154633
214,5.6368637,3.3423514,6.2692795
215,4.8022456,3.3423514,6.2654843
216,5.289957,5.554056,3.4508526
217,4.200657,3.3391237,4.6602645
218,3.9090104,4.0681148,2.6662292
219,7.223174,3.6640487,3.4235053
220,3.8549068,3.7855783,4.729889
221,4.02852,4.312231,5.70081
222,3.4623504,3.6640487,4.4776073
223,4.8884892,5.4192123,5.0769873
224,4.5352,3.305085,4.6780825
225,3.5205865,4.970498,4.1759124
226,5.228848,3.6012526,3.5708566
227,4.1249123,5.299036,5.1306286
228,3.8549068,3.3423514,4.2159877
229,4.4928155,6.0025077,3.8720005
230,3.8720002,4.0996585,3.515714
231,4.200657,5.8370547,5.2209816
232,5.008403,3.3391237,4.452173
233,4.7808814,3.0036032,4.7221212
234,3.9380865,5.011406,4.75907
235,3.8924072,4.088663,5.71333
236,3.8549068,3.9060738,4.2134867
237,5.7282,5.4404955,3.3696303
238,3.3873487,3.9186773,3.382164
239,3.8887215,4.9407964,4.0635557
240,3.9258087,4.13846,5.952313
241,5.617584,6.0673413,3.623323
242,3.7618494,6.9152093,4.0819864
243,3.7065537,5.045479,5.5281887
244,4.050494,3.7059128,3.4354765
245,3.8549068,3.2738743,4.8650417
246,3.399329,3.6586123,4.165034
247,4.02852,4.339695,4.4776073
248,5.984284,3.1212528,4.4113994
249,4.4614987,3.9782825,3.7914891
250,4.200657,4.2433076,3.6998396
251,3.7287657,5.6515326,4.0495358
252,4.8022456,3.941368,3.7481673
253,4.7808814,5.7904577,6.0036635
254,4.4614987,5.1676383,4.3290086
255,3.8720002,3.3931432,5.270535
256,6.3265905,3.5550053,4.8144236
257,4.02852,3.7754054,5.2632365
258,3.2964828,6.394114,5.3968005
259,4.4928155,3.5683823,3.847205
260,4.02852,4.9495273,5.7115707
261,5.008403,3.5683823,3.2790217
262,3.8549068,3.6586123,4.4523454
263,3.3873487,5.4121413,6.2296357
264,3.399329,3.9782825,3.9089386
265,4.466844,3.5683823,4.3450413
266,4.400667,3.2738743,4.345138
267,4.7808814,4.226691,4.092839
268,3.3873487,4.615178,4.382279
269,3.8720002,3.2738743,5.1446357
270,4.4928155,3.3931432,4.501183
271,6.5719895,3.9782825,4.9802856
272,4.200657,4.4641275,3.4662976
273,3.1549113,3.381169,5.305596
274,3.8924072,3.5550053,4.611935
275,4.4928155,6.0028358,4.8200564
276,4.02852,4.5084915,4.1485295
277,3.8310533,3.746733,5.3968005
278,3.7618494,3.7496634,4.106648
279,4.039328,8.142871,4.552274
280,3.8720002,3.934098,5.426702
281,3.8307762,3.910589,5.0763335
282,5.965741,6.210592,4.4159255
283,4.7808814,4.4416046,3.7516365
284,5.7029557,4.7862167,4.025754
285,5.3009057,6.0934696,5.297346
286,4.8358684,3.5644455,4.218186
287,5.008403,4.620576,5.357017
288,4.4614987,3.6012526,3.710756
289,5.3121133,4.7862167,4.6674414
290,4.4301357,3.765843,4.968718
291,4.0993147,3.746733,3.925928
292,4.200657,3.883297,4.827277
293,5.2440977,5.045479,4.012111
294,4.0211635,3.9084618,4.250578
295,3.3714523,3.6012526,4.52465
296,3.8720002,3.1294203,4.593742
297,5.448147,3.8974197,3.4006295
298,5.303696,5.429106,4.7267914
299,3.5205865,3.3451173,6.3422995
300,3.8307762,5.045479,3.1188455
